2022-08-09 11:52:49 status half-installed debianutils:arm64 5.5-1ubuntu2
2022-08-09 11:52:49 status unpacked debianutils:arm64 5.5-1ubuntu2
2022-08-09 11:52:49 install diffutils:arm64 <none> 1:3.8-0ubuntu2
2022-08-09 11:52:49 status half-installed diffutils:arm64 1:3.8-0ubuntu2
2022-08-09 11:52:49 status unpacked diffutils:arm64 1:3.8-0ubuntu2
2022-08-09 11:52:49 upgrade dpkg:arm64 1.21.1ubuntu2 1.21.1ubuntu2
2022-08-09 11:52:49 status half-configured dpkg:arm64 1.21.1ubuntu2
2022-08-09 11:52:49 status unpacked dpkg:arm64 1.21.1ubuntu2
2022-08-09 11:52:49 status half-installed dpkg:arm64 1.21.1ubuntu2
2022-08-09 11:52:49 status unpacked dpkg:arm64 1.21.1ubuntu2
2022-08-09 11:52:49 install e2fsprogs:arm64 <none> 1.46.5-2ubuntu1
2022-08-09 11:52:49 status half-installed e2fsprogs:arm64 1.46.5-2ubuntu1
2022-08-09 11:52:50 status unpacked e2fsprogs:arm64 1.46.5-2ubuntu1
2022-08-09 11:52:50 install findutils:arm64 <none> 4.8.0-1ubuntu3
2022-08-09 11:52:50 status half-installed findutils:arm64 4.8.0-1ubuntu3
2022-08-09 11:52:50 status unpacked findutils:arm64 4.8.0-1ubuntu3
2022-08-09 11:52:50 install gcc-12-base:arm64 <none> 12-20220319-1ubuntu1
2022-08-09 11:52:50 status half-installed gcc-12-base:arm64 12-20220319-1ubuntu1
2022-08-09 11:52:50 status unpacked gcc-12-base:arm64 12-20220319-1ubuntu1
2022-08-09 11:52:50 install grep:arm64 <none> 3.7-1build1
2022-08-09 11:52:50 status half-installed grep:arm64 3.7-1build1
2022-08-09 11:52:50 status unpacked grep:arm64 3.7-1build1
2022-08-09 11:52:50 install gzip:arm64 <none> 1.10-4ubuntu4
2022-08-09 11:52:50 status half-installed gzip:arm64 1.10-4ubuntu4
2022-08-09 11:52:50 status unpacked gzip:arm64 1.10-4ubuntu4
2022-08-09 11:52:50 install hostname:arm64 <none> 3.23ubuntu2
2022-08-09 11:52:50 status half-installed hostname:arm64 3.23ubuntu2
2022-08-09 11:52:50 status unpacked hostname:arm64 3.23ubuntu2
2022-08-09 11:52:50 install init-system-helpers:all <none> 1.62
2022-08-09 11:52:50 status half-installed init-system-helpers:all 1.62
2022-08-09 11:52:50 status unpacked init-system-helpers:all 1.62
2022-08-09 11:52:50 install libacl1:arm64 <none> 2.3.1-1
2022-08-09 11:52:50 status half-installed libacl1:arm64 2.3.1-1
2022-08-09 11:52:50 status unpacked libacl1:arm64 2.3.1-1
2022-08-09 11:52:50 install libattr1:arm64 <none> 1:2.5.1-1build1
2022-08-09 11:52:50 status half-installed libattr1:arm64 1:2.5.1-1build1
2022-08-09 11:52:50 status unpacked libattr1:arm64 1:2.5.1-1build1
2022-08-09 11:52:50 install libaudit-common:all <none> 1:3.0.7-1build1
2022-08-09 11:52:50 status half-installed libaudit-common:all 1:3.0.7-1build1
2022-08-09 11:52:50 status unpacked libaudit-common:all 1:3.0.7-1build1
2022-08-09 11:52:50 install libaudit1:arm64 <none> 1:3.0.7-1build1
2022-08-09 11:52:50 status half-installed libaudit1:arm64 1:3.0.7-1build1
2022-08-09 11:52:50 status unpacked libaudit1:arm64 1:3.0.7-1build1
2022-08-09 11:52:50 install libblkid1:arm64 <none> 2.37.2-4ubuntu3
2022-08-09 11:52:50 status half-installed libblkid1:arm64 2.37.2-4ubuntu3
2022-08-09 11:52:50 status unpacked libblkid1:arm64 2.37.2-4ubuntu3
2022-08-09 11:52:50 install libbz2-1.0:arm64 <none> 1.0.8-5build1
2022-08-09 11:52:50 status half-installed libbz2-1.0:arm64 1.0.8-5build1
2022-08-09 11:52:50 status unpacked libbz2-1.0:arm64 1.0.8-5build1
2022-08-09 11:52:50 install libc-bin:arm64 <none> 2.35-0ubuntu3
2022-08-09 11:52:50 status half-installed libc-bin:arm64 2.35-0ubuntu3
2022-08-09 11:52:50 status unpacked libc-bin:arm64 2.35-0ubuntu3
2022-08-09 11:52:50 upgrade libc6:arm64 2.35-0ubuntu3 2.35-0ubuntu3
2022-08-09 11:52:50 status half-configured libc6:arm64 2.35-0ubuntu3
2022-08-09 11:52:50 status unpacked libc6:arm64 2.35-0ubuntu3
2022-08-09 11:52:50 status half-installed libc6:arm64 2.35-0ubuntu3
2022-08-09 11:52:51 status unpacked libc6:arm64 2.35-0ubuntu3
2022-08-09 11:52:51 install libcap-ng0:arm64 <none> 0.7.9-2.2build3
2022-08-09 11:52:51 status half-installed libcap-ng0:arm64 0.7.9-2.2build3
2022-08-09 11:52:51 status unpacked libcap-ng0:arm64 0.7.9-2.2build3
2022-08-09 11:52:51 install libcap2:arm64 <none> 1:2.44-1build3
2022-08-09 11:52:51 status half-installed libcap2:arm64 1:2.44-1build3
2022-08-09 11:52:51 status unpacked libcap2:arm64 1:2.44-1build3
2022-08-09 11:52:51 install libcom-err2:arm64 <none> 1.46.5-2ubuntu1
2022-08-09 11:52:51 status half-installed libcom-err2:arm64 1.46.5-2ubuntu1
2022-08-09 11:52:51 status unpacked libcom-err2:arm64 1.46.5-2ubuntu1
2022-08-09 11:52:51 install libcrypt1:arm64 <none> 1:4.4.27-1
2022-08-09 11:52:51 status half-installed libcrypt1:arm64 1:4.4.27-1
2022-08-09 11:52:51 status unpacked libcrypt1:arm64 1:4.4.27-1
2022-08-09 11:52:51 install libdb5.3:arm64 <none> 5.3.28+dfsg1-0.8ubuntu3
2022-08-09 11:52:51 status half-installed libdb5.3:arm64 5.3.28+dfsg1-0.8ubuntu3
